,AveragePrice,TotalVolume,4046,4225,4770,TotalBags,SmallBags,LargeBags,XLargeBags,year
count,25161.0,25161.0,25161.0,25161.0,25161.0,25161.0,25161.0,25161.0,25161.0,25161.0
mean,1.3960179727111512,917091.342461169,298153.02075182734,295828.42991836485,22463.619289750695,295043.2094709726,212419.88481983164,75899.2379883542,4405.638467048121,2016.7768769126824
std,0.377521050706715,3660879.236734972,1265326.5200624147,1187469.3952090577,102739.18581596404,1210963.8255679405,853016.3329802693,351794.362143694,25357.440982912885,1.3239776478154128
min,0.44,84.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0
25%,1.12,14000.96,922.36,3284.48,0.0,7733.6,5244.73,288.89,0.0,2016.0
50%,1.38,136331.51,12258.26,30936.55,252.0,51050.29,35372.69,4757.53,0.0,2017.0
75%,1.62,563852.38,135882.54,192105.68,8008.86,163240.86,115912.3,37441.3,593.8,2018.0
max,3.25,63716144.15,22743616.17,20470572.61,2546439.11,23472988.69,15436246.72,7864297.23,844929.83,2019.0
